Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SF1CC2CA,2017.03,572.279,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.06,553.194,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.09,541.03,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2017.12,592.754,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.03,530.018,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.06,556.048,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.09,541.341,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2018.12,565.895,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.03,527.25,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
BDCQ.SF1CC2CA,2019.06,549.739,,F,Dollars,6,Business Data Collection - BDC,Industry by financial variable,Sales (operating income),"Textile, Leather, Clothing and Footwear Manufacturing",Current prices,Unadjusted,
